MODEL,SAVE
SPEC file,C:\NidecDAQ\Config\default.txt
Data file,C:\NidecDAQ\Data\SAVE_A1234_762022.csv
Site,NCVH
Factory,VH12
Product,GREENPLANET
Line,AA
Process,EI01
Test system,E-TESTER4
,,Test name,[902]Bacode And Close Orifice Plate IN for worker 0.625IN,[301]Speed (Duty100%),[301] Voltage (Duty100%),[011]Current,,Channel,test(sec),DATE,TIME
,,SPEC max,0,5000,30.5,0.1
,,SPEC min,0,200,18.2,0.03
LOT,No.,Judge
A1234,2,NG,,----,----,----,END,1,10,7/6/2022,8:48:52
A1234,3,NG,,2881,23,0.068,END,2,10,7/6/2022,8:49:39
A1234,4,NG,,2956,22,0.067,END,2,10,7/6/2022,8:50:50
A1234,5,OK,,209,21,0.034,END,1,10,7/6/2022,8:51:58
A1234,6,NG,,2914,23,0.068,END,1,10,7/6/2022,8:52:9
A1234,7,NG,,2914,22.8,0.068,END,2,10,7/6/2022,8:54:5
A1234,8,NG,,2998,22.4,0.068,END,2,10,7/6/2022,8:54:23
A1234,9,OK,,1040,22.2,0.034,END,2,10,7/6/2022,8:54:51
A1234,10,NG,,2956,22.9,0.068,END,2,10,7/6/2022,8:55:1
A1234,11,NG,,2947,22.7,0.066,END,2,10,7/6/2022,8:55:17
A1234,12,OK,,696,11.4,0.033,END,2,10,7/6/2022,8:56:8
A1234,13,NG,,2956,21.2,0.067,END,2,10,7/6/2022,8:56:19
A1234,7,NG,,----,----,0.034,END,1,10,7/6/2022,11:0:37
A1234,8,NG,,----,----,0.034,END,2,10,7/6/2022,11:2:11
A1234,7,OK,8935049510864,2846,20.5,0.07,END,1,10,7/6/2022,11:56:52
A1234,8,OK,,2905,20.8,0.069,END,2,10,7/6/2022,11:58:35
A1234,9,OK,8935049510864,2981,20.8,0.068,END,2,10,7/6/2022,11:59:33
A1234,10,OK,8935049510864,2989,20.6,0.067,END,1,10,7/6/2022,12:1:4
A1234,15,OK,8935049510864,2905,20.5,0.068,END,1,10,7/6/2022,12:7:9
A1234,15,OK,,----,----,----,END,1,10,7/6/2022,12:9:4
A1234,15,OK,8935049510864,3006,20.5,0.067,END,2,10,7/6/2022,12:10:46
A1234,16,OK,,----,----,----,END,1,10,7/6/2022,12:11:57
A1234,17,OK,,----,----,----,END,1,10,7/6/2022,12:12:45
A1234,18,OK,8935049510864,2940,20.5,0.068,END,2,10,7/6/2022,12:13:7
A1234,19,OK,8935049510864,2922,20.5,0.068,END,1,10,7/6/2022,12:13:31
A1234,20,OK,8935049510864,2947,20.4,0.067,END,1,10,7/6/2022,12:14:18
A1234,21,OK,8935049510864,2940,20.5,0.068,END,2,10,7/6/2022,12:14:38
A1234,22,OK,8935049510864,2956,20.5,0.067,END,2,10,7/6/2022,12:15:1
A1234,23,OK,8935049510864,2863,20.4,0.069,END,1,10,7/6/2022,12:15:19
A1234,24,OK,8935049510864,2964,20.5,0.067,END,2,10,7/6/2022,12:15:35
