MODEL,SAVE
SPEC file,C:\NidecDAQ\Config\default.txt
Data file,C:\NidecDAQ\Data\SAVE_A1234_662022.csv
Site,NCVH
Factory,VH12
Product,GREENPLANET
Line,AA
Process,EI01
Test system,E-TESTER4
,,Test name,[902]Bacode And Close Orifice Plate IN for worker 0.625IN,[301]Speed (Duty100%),[301] Voltage (Duty100%),[011]Current,,Channel,test(sec),DATE,TIME
,,SPEC max,0,5000,30.5,0.1
,,SPEC min,0,200,20.3,0.03
LOT,No.,Judge
A1234,64,OK,,2220,20.6,0.034,END,1,10,6/6/2022,11:12:23
A1234,66,OK,,1877,20.6,0.034,END,1,10,6/6/2022,11:12:47
A1234,67,OK,,2134,20.7,0.032,END,2,10,6/6/2022,11:13:1
A1234,68,OK,,2254,20.5,0.034,END,1,10,6/6/2022,11:13:33
A1234,70,OK,,2160,20.6,0.034,END,1,10,6/6/2022,11:13:56
A1234,71,OK,,----,----,----,END,1,10,6/6/2022,11:14:37
A1234,72,OK,,3128,20.7,0.066,END,1,10,6/6/2022,11:14:53
A1234,73,OK,,325,20.2,0.034,END,1,10,6/6/2022,11:16:5
A1234,73,OK,,3094,20.8,0.066,END,1,10,6/6/2022,11:17:39
A1234,75,OK,,3137,20.8,0.066,END,1,10,6/6/2022,11:18:4
A1234,75,OK,,2108,20.8,0.034,END,2,10,6/6/2022,11:18:9
